Project Name ,Developer Name,Location,Asset Type,Unit Type,BUA,Land Area,Garden,Unit Price,PSM,Payment yrs raw,Payment Yrs,Down Payment ,Delivery %,Cash discount,Delivery Date,Finishing Specs.,Maintenance,Phase,Date of Update,Updated by,Source of info.,Months from Update,Notes,Offering
Ivoire East,PRE Developments,5th Settlement,Residential,Villa,312,,,39005000,125016.0256,10,10 Yrs,0.05,,,2029,Core & Shell,,,2025-09-21,Nour,Nawy,04,Roof: 30 m2,Sell
Ivoire East,PRE Developments,5th Settlement,Residential,Duplex,235,,178,21498000,91480.85106,10,10 Yrs,0.05,,,2029,Core & Shell,,,2025-09-21,Nour,Nawy,04,,Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Penthouse,223,,,23062000,103417.0404,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-25,Farah,Nawy,04,"5% Down Payment (8 Yrs,10Yrs)",Rent
SODIC EAST,SODIC,New Heliopolis,Residential,Penthouse,223,,,27664000,124053.8117,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-25,Farah,Nawy,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Townhouse,234,,,27482000,117444.4444,8,8 Yrs,0.05,,,RTM,Core & Shell,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Townhouse,234,,,35897000,153405.9829,8,8 Yrs,0.05,,,RTM,Core & Shell,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Rent
SODIC EAST,SODIC,New Heliopolis,Residential,Townhouse,228,,,34785000,152565.7895,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Villa,395,,,68318000,172956.962,8,8 Yrs,0.05,,,RTM,Core & Shell,,,2025-09-26,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Villa,340,,,54282000,159652.9412,8,8 Yrs,0.05,,,RTM,Core & Shell,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,183,,224,27779000,151797.8142,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-26,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,326,,,47848000,146773.0061,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-27,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,237,,,36872000,155578.0591,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-28,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Rent
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,392,,,56500000,144132.6531,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-29,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,326,,,48024000,147312.8834,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-30,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,237,,,39555000,166898.7342,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,326,,,51081000,156690.184,8,8 Yrs,0.05,,,2027,Core & Shell,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,183,,232,30360000,165901.6393,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-26,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,223,,,28881000,129511.2108,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-27,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
